12AM-2AM,2AM-4AM,4AM-6AM,6AM-8AM,8AM-10AM,10AM-12PM,12PM-2PM,2PM-4PM,4PM-6PM,6PM-8PM,8PM-10PM,10PM-12PM
Sleep,Sleep,Sleep,Sleep,Study,Study,Hobby,Work,Work,Eat,Study,Hobby
Sleep,Sleep,Sleep,Eat,Work,Work,Work,Work,Work,Eat,Hobby,Sleep
Hobby,Hobby,Sleep,Sleep,Sleep,Hobby,Hobby,Study,Study,Study,Study,Hobby
Hobby,Hobby,Sleep,Sleep,Sleep,Sleep,Eat,Hobby,Hobby,Eat,Hobby,Hobby
